event,time,tWick15,body15,bWick15,tWick14,body14,bWick14,tWick13,body13,bWick13,tWick12,body12,bWick12,tWick11,body11,bWick11,tWick10,body10,bWick10,tWick9,body9,bWick9,tWick8,body8,bWick8,tWick7,body7,bWick7,tWick6,body6,bWick6,tWick5,body5,bWick5,tWick4,body4,bWick4,tWick3,body3,bWick3,tWick2,body2,bWick2,tWick1,body1,bWick1,target,targetSimple,target1,target2
Goods and Services Trade Balance,2007.10.11 15:30,0,-20,10,10,30,0,0,-10,10,0,10,10,0,30,0,0,20,0,0,-10,10,20,10,0,0,-10,0,0,-20,10,0,0,10,0,20,0,30,20,0,0,0,20,0,10,0,U,U,U,U
Retail Sales,2007.10.12 15:30,10,-10,0,0,-10,30,0,0,10,20,0,0,10,-60,0,0,-20,10,10,-10,10,10,-10,50,20,60,0,10,-10,10,10,-10,10,20,0,10,10,0,10,10,0,10,0,10,10,D,D,D,D
ZEW Survey – Economic Sentiment,2007.10.16 12:00,10,20,0,0,10,10,10,0,10,10,0,0,10,0,0,0,-30,0,0,0,10,10,0,10,0,10,0,0,10,0,0,10,0,10,0,10,10,0,20,0,-10,0,10,0,10,N,N,N,N
Consumer Price Index,2007.10.17 15:30,0,-10,0,10,0,10,10,-10,0,0,0,0,0,-10,0,0,0,20,10,-10,0,0,60,0,10,50,0,0,0,50,40,-10,10,0,-40,10,10,-10,10,10,-10,0,20,20,0,U,U,U,U
IFO – Business Climate,2007.10.25 11:00,10,30,0,0,-40,0,10,10,10,10,10,0,0,-10,10,20,10,10,0,-40,0,0,-20,0,10,-30,0,10,60,10,0,-20,10,10,-20,0,0,0,10,0,0,0,0,10,0,N,N,N,N
Core Personal Consumption Expenditures,2007.10.31 15:30,10,0,0,0,10,0,0,20,0,10,10,0,0,-10,0,20,0,10,0,-10,0,10,0,0,10,10,0,10,-10,0,0,20,0,0,10,0,0,0,0,10,0,10,0,0,10,N,N,N,N
Fed Interest Rate Decision,2007.10.31 21:15,0,-20,0,20,-30,0,10,-10,0,0,-30,0,0,30,0,0,10,0,0,30,0,20,10,0,0,30,10,20,0,10,10,0,10,0,-10,10,0,20,0,0,20,0,10,10,0,U,U,U,U
Core Personal Consumption Expenditures - Price Index,2007.11.01 15:30,0,60,0,0,60,0,0,-50,0,0,-10,0,10,0,10,10,10,0,0,-10,20,10,0,10,0,30,0,10,0,10,10,10,10,10,-10,0,0,30,0,0,10,0,10,0,0,N,N,N,N
Average Hourly Earnings,2007.11.02 15:30,20,0,10,10,-10,10,10,-10,0,20,0,10,0,20,10,0,-20,10,10,0,10,0,10,0,10,-20,0,10,10,10,0,-30,0,20,20,0,10,0,10,10,20,0,10,10,0,N,N,N,N
ECB Main Refinancing Operations Rate,2007.11.08 15:45,0,-10,0,0,10,0,0,0,10,10,-30,0,0,-20,10,0,10,0,10,20,10,10,-40,0,0,40,0,0,0,10,10,10,0,0,-10,0,0,0,10,10,-10,0,0,30,0,N,N,N,N
ECB's President Trichet speech,2007.11.08 16:30,10,-10,0,0,-10,20,10,0,40,0,-50,0,10,-20,0,0,10,10,0,10,10,0,20,10,0,10,0,0,10,0,10,0,0,0,-10,10,10,0,0,0,0,10,0,-10,10,N,N,N,N
Goods and Services Trade Balance,2007.11.09 16:30,10,0,10,0,20,10,0,-10,10,10,-20,10,10,20,20,10,0,10,0,10,0,10,0,10,10,0,0,0,-10,20,0,40,10,0,10,0,30,30,0,0,-30,0,10,-40,0,U,U,U,U
Retail Sales,2007.11.14 16:30,0,10,0,0,10,10,0,-20,0,10,20,0,0,-20,0,20,10,0,0,10,10,10,0,20,10,0,10,0,30,0,0,20,0,0,-20,10,30,-50,10,10,10,20,10,-20,0,N,N,N,N
Consumer Price Index,2007.11.15 16:30,0,-10,0,0,10,10,10,-10,0,0,0,10,10,0,0,0,-10,10,0,-10,0,0,-40,0,20,10,0,0,10,10,10,30,0,0,30,0,10,0,0,0,30,0,10,10,0,N,N,N,N
Core Personal Consumption Expenditures,2007.11.29 16:30,10,-10,0,20,0,0,0,-10,0,0,-20,10,10,10,0,0,10,0,0,20,0,20,30,0,10,20,0,0,10,10,10,10,20,0,-10,10,10,0,0,0,30,0,10,-10,0,N,N,N,N
Core Personal Consumption Expenditures - Price Index,2007.11.30 16:30,0,-20,20,10,0,10,0,40,0,10,60,0,10,-40,10,0,-20,10,0,-30,0,20,-10,10,0,0,20,10,10,0,0,30,0,10,-40,0,0,-90,50,10,40,10,10,-40,0,2D,D,2D,2D
ECB Main Refinancing Operations Rate,2007.12.06 15:45,20,10,0,20,0,10,0,0,10,10,0,0,0,10,10,0,-20,10,0,-10,0,0,-20,0,0,-20,0,20,-10,0,20,0,0,0,20,0,0,10,0,10,0,0,0,20,0,D,D,D,D
Average Hourly Earnings,2007.12.07 16:30,10,0,0,10,20,10,0,-10,10,10,0,0,0,-20,0,0,10,10,10,-20,0,0,0,20,10,0,10,0,10,0,0,-30,0,0,20,0,0,0,10,20,0,0,0,-10,0,N,N,N,N
Fed Interest Rate Decision,2007.12.11 22:15,10,10,10,0,10,0,0,20,10,0,10,0,10,30,0,10,0,10,0,10,20,0,0,10,0,-20,0,10,-10,10,20,20,0,0,0,0,0,-10,10,0,-10,0,0,0,0,N,N,N,N
Goods and Services Trade Balance,2007.12.12 16:30,10,-10,0,0,10,0,10,10,0,10,0,10,0,0,10,0,0,10,0,20,0,0,-40,0,10,20,0,10,10,10,10,-10,10,0,20,0,10,-10,0,0,-10,0,10,0,0,N,N,N,N
Retail Sales,2007.12.13 16:30,10,-30,10,0,-220,0,20,0,70,10,0,20,10,-140,0,0,70,0,20,0,20,10,0,10,20,0,10,0,0,10,0,0,20,0,-110,0,20,-110,0,10,-10,40,10,20,10,U|2D,U,U|2D,U|2D
NAHB Housing Market Index,2007.12.17 21:00,0,-10,0,0,0,0,10,10,0,0,-10,10,10,10,0,0,10,0,10,0,0,0,0,10,10,0,0,20,10,0,0,0,0,0,10,0,0,0,0,0,-10,0,0,10,0,N,N,N,N
IFO – Business Climate,2007.12.19 12:00,10,0,10,0,-10,0,0,-10,0,0,0,10,0,-40,0,0,40,0,10,-10,0,0,10,0,0,10,0,0,0,0,0,10,10,0,0,10,10,0,0,0,20,0,10,50,0,U,U,U,U
Gross Domestic Product Annualized,2007.12.20 16:30,0,-10,0,0,-10,0,0,-30,10,0,10,10,0,-20,20,10,50,10,50,0,0,10,30,0,20,20,0,10,40,0,0,-20,20,10,0,0,0,0,10,10,-30,0,10,-10,0,2U,U,2U,2U
Core Personal Consumption Expenditures - Price Index,2007.12.21 16:30,0,10,0,10,0,0,0,20,0,10,-10,20,0,-20,10,0,-20,20,0,-10,10,0,-10,0,0,10,0,0,0,10,0,-10,0,10,0,10,0,-10,0,0,-10,0,0,-10,0,N,N,N,N
Average Hourly Earnings,2008.01.04 16:30,0,-30,0,10,-50,10,10,40,10,10,10,10,0,20,20,10,0,10,0,-10,30,10,0,10,0,20,10,10,0,10,10,40,0,0,-30,0,10,0,0,10,0,10,20,30,0,N,N,N,N
ECB Main Refinancing Operations Rate,2008.01.10 15:45,0,40,20,40,80,10,10,-30,0,0,70,20,20,-10,50,10,-20,30,50,20,0,30,90,10,20,-20,20,10,-40,20,20,-10,10,10,10,10,10,0,10,0,-20,10,0,-40,20,U|D,U,U|D,U|D
ZEW Survey – Economic Sentiment,2008.01.15 13:00,0,-10,0,0,-20,0,10,10,0,0,-20,0,10,20,0,10,0,10,0,20,0,0,20,10,0,-10,0,0,-30,0,0,-30,0,0,0,0,0,-10,0,0,10,0,0,0,0,N,N,N,N
Retail Sales,2008.01.15 16:30,0,0,10,0,-20,10,0,-10,10,0,-20,0,10,10,0,10,-20,0,0,-30,0,0,-10,10,0,-40,40,0,10,20,10,10,10,20,-50,0,10,10,10,10,10,10,0,-10,20,D,D,D,D
Consumer Price Index ex Food & Energy,2008.01.16 16:30,0,50,10,20,10,0,10,-30,10,0,0,0,0,10,10,0,-20,0,0,-20,10,0,10,0,10,10,10,0,-10,10,0,-40,0,0,-10,10,10,-20,0,10,-10,10,10,-20,0,D,D,D,D
NAHB Housing Market Index,2008.01.16 21:00,0,0,20,10,-80,0,0,-50,0,0,50,10,10,-20,10,10,-10,0,10,10,0,10,0,0,20,-10,0,0,-30,10,10,10,0,0,-20,0,0,-10,10,0,-30,50,10,-20,0,D,D,D,D
Fed Interest Rate Decision,2008.01.22 16:20,20,0,0,0,-10,20,10,10,10,10,30,0,0,30,0,10,30,0,0,10,30,0,30,0,0,40,0,0,10,20,0,-20,0,10,0,30,30,90,20,0,350,10,50,-40,0,5U,U,5U,5U
