open,high,low,close,volume,datetime
1.11957,1.12004,1.11868,1.1187,4309.0,2022-01-27 12:00:00
1.1187,1.11909,1.11516,1.11582,8202.0,2022-01-27 13:00:00
1.11581,1.11683,1.11535,1.11567,6009.0,2022-01-27 14:00:00
1.11567,1.11614,1.1134,1.11487,10974.0,2022-01-27 15:00:00
1.11487,1.11616,1.11448,1.11602,9231.0,2022-01-27 16:00:00
1.11602,1.11612,1.11305,1.11488,10929.0,2022-01-27 17:00:00
1.11487,1.11611,1.11404,1.11416,7383.0,2022-01-27 18:00:00
1.11416,1.1151,1.1136,1.11385,4148.0,2022-01-27 19:00:00
1.11385,1.11462,1.11351,1.11439,3508.0,2022-01-27 20:00:00
1.11439,1.11464,1.11382,1.11397,2546.0,2022-01-27 21:00:00
1.11397,1.11488,1.11393,1.11421,2709.0,2022-01-27 22:00:00
1.11421,1.11462,1.11411,1.11462,951.0,2022-01-27 23:00:00
1.11462,1.11462,1.11383,1.11431,331.0,2022-01-28 00:00:00
1.11431,1.1146,1.11412,1.11439,978.0,2022-01-28 01:00:00
1.11439,1.11468,1.11375,1.11462,1820.0,2022-01-28 02:00:00
1.11462,1.11477,1.11426,1.11467,1672.0,2022-01-28 03:00:00
1.11467,1.11517,1.11457,1.11515,1370.0,2022-01-28 04:00:00
1.11515,1.11552,1.11511,1.11528,1344.0,2022-01-28 05:00:00
1.11528,1.11534,1.11486,1.11514,858.0,2022-01-28 06:00:00
1.11514,1.11543,1.1149,1.11536,1400.0,2022-01-28 07:00:00
1.11536,1.11541,1.11461,1.11462,1433.0,2022-01-28 08:00:00
1.11462,1.11464,1.11254,1.11341,5433.0,2022-01-28 09:00:00
1.11341,1.11376,1.11207,1.11356,6890.0,2022-01-28 10:00:00
1.11356,1.1139,1.11251,1.11321,4508.0,2022-01-28 11:00:00
1.11321,1.11431,1.11287,1.11364,4537.0,2022-01-28 12:00:00
1.11364,1.11364,1.1127,1.11327,4506.0,2022-01-28 13:00:00
1.11327,1.11408,1.11249,1.11262,4332.0,2022-01-28 14:00:00
1.11262,1.11682,1.11262,1.1168,11541.0,2022-01-28 15:00:00
1.1168,1.1173,1.11428,1.11569,10954.0,2022-01-28 16:00:00
1.11569,1.11667,1.11376,1.11636,10797.0,2022-01-28 17:00:00
1.11636,1.11689,1.11549,1.116,8239.0,2022-01-28 18:00:00
1.116,1.11628,1.11504,1.11505,3174.0,2022-01-28 19:00:00
1.11505,1.11556,1.11466,1.11514,2256.0,2022-01-28 20:00:00
1.11514,1.11533,1.11428,1.11438,2164.0,2022-01-28 21:00:00
1.11438,1.11496,1.11405,1.11496,2024.0,2022-01-28 22:00:00
1.11496,1.11507,1.11453,1.11482,1162.0,2022-01-28 23:00:00
1.11422,1.11441,1.11401,1.11434,275.0,2022-01-31 00:00:00
1.11434,1.11519,1.11375,1.11513,2597.0,2022-01-31 01:00:00
1.11513,1.11537,1.11436,1.11445,2575.0,2022-01-31 02:00:00
1.11445,1.11574,1.11441,1.1157,2135.0,2022-01-31 03:00:00
1.1157,1.11598,1.11541,1.11587,1664.0,2022-01-31 04:00:00
1.11587,1.11624,1.11567,1.11603,1389.0,2022-01-31 05:00:00
1.11603,1.11632,1.11595,1.11613,896.0,2022-01-31 06:00:00
1.11613,1.11653,1.11603,1.11645,686.0,2022-01-31 07:00:00
1.11645,1.11667,1.11616,1.11661,1382.0,2022-01-31 08:00:00
1.11661,1.11709,1.116,1.11703,3182.0,2022-01-31 09:00:00
1.11703,1.11819,1.11632,1.11699,5493.0,2022-01-31 10:00:00
1.11699,1.11776,1.11653,1.11741,3610.0,2022-01-31 11:00:00
1.11741,1.11814,1.1167,1.1167,3218.0,2022-01-31 12:00:00
1.1167,1.11674,1.11524,1.11587,3690.0,2022-01-31 13:00:00
1.11587,1.11614,1.11456,1.11557,5558.0,2022-01-31 14:00:00
1.11557,1.11933,1.1152,1.11927,8012.0,2022-01-31 15:00:00
1.11927,1.11981,1.11839,1.11886,7701.0,2022-01-31 16:00:00
1.11886,1.12172,1.11826,1.121,12083.0,2022-01-31 17:00:00
1.121,1.1213,1.11981,1.12095,8848.0,2022-01-31 18:00:00
1.12095,1.12191,1.12088,1.12185,4069.0,2022-01-31 19:00:00
1.12185,1.12338,1.12178,1.12326,3241.0,2022-01-31 20:00:00
1.12326,1.12474,1.12315,1.12426,3311.0,2022-01-31 21:00:00
1.12426,1.1245,1.12326,1.12345,3524.0,2022-01-31 22:00:00
1.12345,1.12365,1.12299,1.12339,1313.0,2022-01-31 23:00:00
1.12342,1.12343,1.12303,1.12308,351.0,2022-02-01 00:00:00
1.1231,1.12321,1.12286,1.12286,864.0,2022-02-01 01:00:00
1.12286,1.12298,1.12202,1.12234,1722.0,2022-02-01 02:00:00
1.12234,1.12278,1.12209,1.12256,1579.0,2022-02-01 03:00:00
1.12256,1.12322,1.12249,1.12321,1067.0,2022-02-01 04:00:00
1.12321,1.12334,1.12254,1.12325,2126.0,2022-02-01 05:00:00
1.12325,1.12442,1.12325,1.12424,1103.0,2022-02-01 06:00:00
1.12424,1.12446,1.12391,1.12396,1102.0,2022-02-01 07:00:00
1.12396,1.12419,1.12336,1.1234,1481.0,2022-02-01 08:00:00
1.1234,1.12675,1.1234,1.12658,5099.0,2022-02-01 09:00:00
1.12658,1.12689,1.12511,1.12566,5129.0,2022-02-01 10:00:00
1.12567,1.12667,1.12531,1.12607,5169.0,2022-02-01 11:00:00
1.12607,1.12668,1.12546,1.12615,3763.0,2022-02-01 12:00:00
1.12615,1.12782,1.12585,1.12724,4721.0,2022-02-01 13:00:00
1.12726,1.12731,1.12569,1.12608,4305.0,2022-02-01 14:00:00
1.12608,1.12678,1.12527,1.12652,5110.0,2022-02-01 15:00:00
1.12652,1.12738,1.12593,1.12633,6427.0,2022-02-01 16:00:00
1.12633,1.12654,1.12447,1.12466,12045.0,2022-02-01 17:00:00
1.12466,1.12536,1.12337,1.12385,6606.0,2022-02-01 18:00:00
1.12385,1.12486,1.12352,1.12443,3687.0,2022-02-01 19:00:00
1.12443,1.12494,1.12423,1.1248,1974.0,2022-02-01 20:00:00
1.1248,1.12569,1.12424,1.12522,2149.0,2022-02-01 21:00:00
1.12522,1.127,1.12512,1.12681,2752.0,2022-02-01 22:00:00
1.12681,1.12733,1.12654,1.12698,1275.0,2022-02-01 23:00:00
1.12694,1.12723,1.12681,1.12685,294.0,2022-02-02 00:00:00
1.12685,1.12732,1.12682,1.12723,975.0,2022-02-02 01:00:00
1.12723,1.12741,1.12676,1.12706,1116.0,2022-02-02 02:00:00
1.12706,1.12762,1.12703,1.12757,674.0,2022-02-02 03:00:00
1.12757,1.12773,1.12742,1.1277,819.0,2022-02-02 04:00:00
1.1277,1.1277,1.127,1.127,752.0,2022-02-02 05:00:00
